,Median Label 0,Median Label 1,P-value
normVR,0.0,0.0,1.5661716208466249e-12
VT,0.0,0.0,1.6563960891663598e-05
normVT,0.0,0.0,1.7216226038024916e-05
VV,0.0,0.0,0.0024870292936397783
normVV,0.0,0.0,0.002383419147980197
VW,0.0,0.0,5.168339017805221e-43
normVW,0.0,0.0,3.150275277441464e-43
VY,0.0,0.0,0.0022479727244823352
normVY,0.0,0.0,0.002279088177700032
WA,0.0,0.0,0.00015407057559126063
normWA,0.0,0.0,0.00016040670976154902
WG,0.0,0.0,0.024383209981382225
normWG,0.0,0.0,0.022989637954378705
WK,0.0,0.0,0.008912166305819516
normWK,0.0,0.0,0.008403138125049706
WL,0.0,0.0,0.0015296402644066436
normWL,0.0,0.0,0.0014459586915124107
WP,0.0,0.0,0.0009522001782795823
normWP,0.0,0.0,0.001006142304020891
WS,0.0,0.0,6.896552082920154e-08
normWS,0.0,0.0,7.089347946443689e-08
WV,0.0,0.0,2.0046369487117267e-06
normWV,0.0,0.0,1.943282315728465e-06
WW,0.0,0.0,2.334318034069068e-31
normWW,0.0,0.0,1.3502234993922354e-31
YA,0.0,0.0,0.0033657672578411616
normYA,0.0,0.0,0.0032165773605879306
YC,0.0,0.0,0.0002919679141100549
normYC,0.0,0.0,0.0002884898099551155
YF,0.0,0.0,1.4920230385783195e-10
normYF,0.0,0.0,1.7721543961056452e-10
YH,0.0,0.0,1.260048653289488e-09
normYH,0.0,0.0,1.3887653102478855e-09
YL,0.0,0.0,0.030857554449879972
normYL,0.0,0.0,0.02957356046612755
YP,0.0,0.0,0.015222811222856097
normYP,0.0,0.0,0.015480359704615183
YQ,0.0,0.0,0.0052291124805312035
normYQ,0.0,0.0,0.005702866360931469
YR,0.0,0.0,5.751958162110295e-08
normYR,0.0,0.0,6.315174579105095e-08
nC,126.0,121.0,9.360098382953842e-05
normnC,0.3139356814701378,0.3115942028985507,6.6031655626271266e-09
nH,202.0,192.0,1.4832224320764215e-06
normnH,0.5034013605442177,0.49178399228543873,6.3041445485847795e-71
normnN,0.08497377870779399,0.088098540434492,2.7121898999507258e-24
normnO,0.0917874396135265,0.09351975433228074,0.008753228085238726
nS,1.0,4.0,1.9273590842871357e-198
normnS,0.0027063649014868497,0.01095690869509535,4.894002840580118e-231
total_elements,402.0,389.0,0.0009008095749038401
AAC,0.0,0.0,0.0024394509221368796
AAE,0.0,0.0,0.04038729126486157
AAG,0.0,0.0,0.002768448450007662
AAI,0.0,0.0,0.005315693205662114
AAN,0.0,0.0,8.634599053289258e-05
AAS,0.0,0.0,0.0004961757161752655
AAV,0.0,0.0,1.2209020035375561e-05
AAW,0.0,0.0,0.03471961394950573
AAY,0.0,0.0,0.0006522740565840841
ACA,0.0,0.0,0.009214703029389138
ACC,0.0,0.0,4.057073793779418e-08
ACD,0.0,0.0,0.03857626422885705
ACE,0.0,0.0,0.04937858263743399
ACG,0.0,0.0,0.0005704116549471277
ACI,0.0,0.0,0.012326262194305524
ACK,0.0,0.0,0.007617354326524694
ACN,0.0,0.0,0.0003609457629413094
ACP,0.0,0.0,0.0074562427863879505
ACR,0.0,0.0,2.0790324353215696e-06
ACS,0.0,0.0,0.0008736880083707023
ACT,0.0,0.0,0.0010346203509871235
ACW,0.0,0.0,0.004653546553255871
ACY,0.0,0.0,9.342171369300278e-05
ADC,0.0,0.0,0.00641577660976745
ADG,0.0,0.0,0.01604510615192424
ADW,0.0,0.0,0.025305068469293014
AEC,0.0,0.0,0.00013975465503210556
AEE,0.0,0.0,0.0026584457004600968
AEG,0.0,0.0,0.007961200149549284
AEI,0.0,0.0,0.023104752411201423
AEL,0.0,0.0,0.004598950120149093
AEM,0.0,0.0,0.03476636556302631
AEP,0.0,0.0,0.015941423611609277
AEQ,0.0,0.0,0.03452383184183966
AER,0.0,0.0,0.0405390817330027
AET,0.0,0.0,0.004214946170123812
AEV,0.0,0.0,0.016097170288803513
AFA,0.0,0.0,0.02766877995765995
AFC,0.0,0.0,0.049625158968838415
AFF,0.0,0.0,0.025181141112378465
AFG,0.0,0.0,0.00244663850561495
AFL,0.0,0.0,5.7989226955532e-05
AFR,0.0,0.0,0.0016041386753878663
AFS,0.0,0.0,0.03476636771374782
AGC,0.0,0.0,0.01727444740829546
AGP,0.0,0.0,0.04950995307147402
AGV,0.0,0.0,0.0017427473385187593
AGY,0.0,0.0,0.000624416633806798
AHD,0.0,0.0,0.025305068469293014
AHH,0.0,0.0,0.025305068469293014
AHM,0.0,0.0,0.04546131201345885
AIA,0.0,0.0,0.006458046315849535
AIC,0.0,0.0,0.04846523240829175
AIE,0.0,0.0,0.03836658160253702
AIF,0.0,0.0,3.995176876166823e-06
AII,0.0,0.0,0.00023086025086689293
AIL,0.0,0.0,0.0022356587644144685
AIT,0.0,0.0,0.04955300245230161
AKC,0.0,0.0,0.033355576980041025
AKK,0.0,0.0,0.02988292305348849
AKR,0.0,0.0,0.0015622625104889838
ALA,0.0,0.0,0.008534496683547
ALF,0.0,0.0,0.00015725436118557164
ALG,0.0,0.0,0.03658933747833456
ALH,0.0,0.0,0.0028119145291336045
ALI,0.0,0.0,0.004335552292022538
ALL,0.0,0.0,0.004076001320181389
ALV,0.0,0.0,1.5571049210624719e-09
AMA,0.0,0.0,0.038802566078210664
AMC,0.0,0.0,0.008119799140647099
AMQ,0.0,0.0,0.019542482658105518
ANC,0.0,0.0,0.011349070217021869
AND,0.0,0.0,0.0072886180025755615
ANL,0.0,0.0,0.04082904876290164
ANN,0.0,0.0,0.04975708794315195
ANQ,0.0,0.0,0.01247009743938241
ANS,0.0,0.0,0.01829369801036524
ANY,0.0,0.0,0.006630502083701395
APC,0.0,0.0,6.047203845935647e-05
APE,0.0,0.0,0.013975190139536374
API,0.0,0.0,0.01815976192814702
APV,0.0,0.0,0.000662899475774773
AQK,0.0,0.0,0.0005630421798863335
AQL,0.0,0.0,0.001038469815913293
AQR,0.0,0.0,0.0323921601128506
AQV,0.0,0.0,0.01634914207280205
ARC,0.0,0.0,0.0010226870590356006
ARE,0.0,0.0,0.004512667908250945
ASC,0.0,0.0,0.0019273672391709957
ASD,0.0,0.0,0.013680226227528661
ASG,0.0,0.0,0.04611168481730057
ASL,0.0,0.0,0.023672352298281824
ASQ,0.0,0.0,0.011441440616895508
ASR,0.0,0.0,0.00197509753188816
ASV,0.0,0.0,0.002982835612559163
ATA,0.0,0.0,0.0004056174548992877
ATE,0.0,0.0,0.020708467134609127
ATF,0.0,0.0,0.04857311198866261
ATI,0.0,0.0,0.0006560877836785138
ATL,0.0,0.0,0.0005815516249816765
ATV,0.0,0.0,2.084724164291436e-05
AVA,0.0,0.0,0.0008495306383124241
AVE,0.0,0.0,0.011492886115824658
AVG,0.0,0.0,0.017532110042331694
AVI,0.0,0.0,0.0003509338640249414
AVM,0.0,0.0,0.02077155791704324
AVP,0.0,0.0,0.002970454775560027
AVT,0.0,0.0,0.03230832064235147
AVV,0.0,0.0,0.00015250354647540398
AWC,0.0,0.0,0.014267878743686537
AWD,0.0,0.0,0.03257217258954301
AWQ,0.0,0.0,0.04546131201345885
AWY,0.0,0.0,0.04546130498576349
AYA,0.0,0.0,0.00385327048423617
AYC,0.0,0.0,0.044918361883938496
AYH,0.0,0.0,0.04546131201345885
AYL,0.0,0.0,3.6438365805844e-05
AYP,0.0,0.0,0.008119799436438865
AYS,0.0,0.0,0.0038519929468572075
AYY,0.0,0.0,0.025305068469293014
CAA,0.0,0.0,0.00023086016910937315
CAC,0.0,0.0,0.001681007108041873
CAD,0.0,0.0,0.005170095588733006
CAG,0.0,0.0,0.00011011277708202529
CAH,0.0,0.0,0.012254117444276723
CAK,0.0,0.0,0.033488421491936746
CAM,0.0,0.0,0.011337990045225356
CAN,0.0,0.0,0.0016615725945508496
CAP,0.0,0.0,0.002670331967640229
CAQ,0.0,0.0,0.028676734694360637
CAR,0.0,0.0,0.0016643938876264423
CAT,0.0,0.0,0.047604032251683276
